Date,Open,High,Low,Shares Traded,Turnover (Rs. Cr),Close
27-Mar-02,1130,1134.1,1121.35,41551364,1115.18,1123.35
28-Mar-02,1123.6,1138.45,1123.6,55362083,1423.51,1129.55
01-Apr-02,1129.85,1143.3,1129.85,41464447,1116.79,1138.95
02-Apr-02,1138.8,1147.3,1132.3,50733525,1401.11,1136.95
03-Apr-02,1136.6,1136.9,1121.45,39862825,1031.04,1123.5
04-Apr-02,1124.05,1149.65,1123.9,49472486,1388.14,1145.9
05-Apr-02,1146.05,1153.3,1139.9,40192567,1133.81,1141.95
08-Apr-02,1141.9,1147.9,1134,31263947,916.74,1135.25
09-Apr-02,1135.15,1137.45,1122.1,37258542,1088.52,1126.7
10-Apr-02,1126.7,1140.25,1125.75,48371804,1747.31,1138.5
11-Apr-02,1138.55,1150.2,1138.55,48509919,1680.95,1143.6
12-Apr-02,1143.25,1151.55,1138.65,38866977,1226.92,1146.5
15-Apr-02,1146.55,1152.55,1130.45,32838768,1119.35,1134.15
16-Apr-02,1130.8,1133.5,1116.65,32533210,1046.74,1118.75
17-Apr-02,1119,1136.6,1118.95,34383746,1259.69,1125.1
18-Apr-02,1125.25,1135,1123.8,34219373,1148.19,1129
19-Apr-02,1125.55,1127.05,1097.6,42127555,1325.67,1100.3
22-Apr-02,1100.5,1107.2,1088.05,38335333,1184.78,1104.15
23-Apr-02,1104,1108.8,1095,39715536,1259.14,1106
24-Apr-02,1106.25,1116.85,1105.7,40697311,1144.37,1110.6
25-Apr-02,1110.65,1113.85,1089,44989860,1186.51,1094.3
26-Apr-02,1094.25,1103.35,1094.1,30866979,946.98,1097.4
29-Apr-02,1097.55,1098.65,1073.3,41590165,1102.62,1074.2
30-Apr-02,1074.25,1085.75,1073.4,35796410,972.43,1084.5
02-May-02,1084.8,1101.1,1084.8,44413724,1325.68,1093.3
03-May-02,1093.4,1098.6,1091.5,34201217,874.44,1096.95
06-May-02,1096.95,1102.05,1096.25,33065194,939.03,1100.95
07-May-02,1100.9,1111.85,1096.65,34359853,951.77,1110.7
08-May-02,1110.7,1122.7,1110.7,38154848,1035.47,1117.6
09-May-02,1117.7,1136.55,1117.7,41844601,1091.86,1127.6
10-May-02,1127.05,1127.3,1111.15,39471255,949.49,1116.4
13-May-02,1116.8,1121.95,1114.2,35779577,908.75,1119.65
14-May-02,1119.95,1125.95,1111.45,45786733,1113.3,1115.1
15-May-02,1115.15,1121.5,1102.65,43830185,1228.27,1107.8
16-May-02,1108.25,1111.25,1089.85,48839381,1212.07,1092.8
17-May-02,1092.8,1099.75,1079.95,55619999,1313.48,1090.65
20-May-02,1091.7,1097.95,1071.35,43649853,1039,1074.35
21-May-02,1074.75,1074.85,1028.25,69838950,1594.03,1049.2
22-May-02,1049.5,1050.9,1035.5,50691915,1316.28,1045.3
23-May-02,1045.2,1045.35,1024.3,40362927,1053.86,1026.75
24-May-02,1026.9,1069.2,1026.9,51001192,1313.52,1067
27-May-02,1067,1071.5,1054.1,45839909,1221.77,1062.7
28-May-02,1061.9,1062.3,1034.1,47296910,1255.7,1038.2
29-May-02,1038.2,1047.95,1026.5,59425589,1609.57,1041.65
30-May-02,1041.4,1049.95,1030.1,56754281,1375.88,1032.15
